address_key,address_id,street,city,state,postcode,country
1,A00001,332 Erickson Passage,East Amandaville,Oklahoma,35003,Australia
2,A00002,4501 Mcfarland Dale,Amandafort,New Mexico,49947,Australia
3,A00003,244 John Greens Suite 973,Gregoryfurt,West Virginia,82654,Australia
4,A00004,986 Kim Brook Suite 604,Howeton,Kansas,88399,Australia
5,A00005,012 Thompson Forge,East Jason,Hawaii,63569,Australia
6,A00006,3281 Stanley Passage,Johnborough,Arkansas,33449,Australia
7,A00007,97922 Norton Forest Apt. 737,South Sarah,West Virginia,29626,Australia
8,A00008,6537 Jackson Ville,New Paulview,Utah,83365,Australia
9,A00009,9256 Cooper Ford,South Dominicmouth,Michigan,74688,Australia
10,A00010,451 Aguirre Mountain,West Michelefort,Iowa,93928,Australia
11,A00011,681 Glenn Pass,Hallfort,Missouri,99763,Australia
12,A00012,4004 Katie Lakes Suite 675,South Anthonyberg,West Virginia,70535,Australia
13,A00013,864 Kristina Knoll Suite 385,East Rodney,Delaware,14816,Australia
14,A00014,741 Jason Throughway Suite 327,East Judith,Montana,63731,Australia
15,A00015,8850 Jacqueline Land,Guerraport,Massachusetts,61565,Australia
16,A00016,70944 Evan Mews Suite 241,Deannaborough,Washington,07610,Australia
17,A00017,8729 Woods Freeway,Port Teresa,Texas,60422,Australia
18,A00018,95980 Jeffrey Harbors Apt. 246,Brianfurt,Utah,43978,Australia
19,A00019,9757 Cruz Meadow,Tammystad,South Dakota,37648,Australia
20,A00020,919 Olson Stravenue,Lake Troy,Alabama,52636,Australia
21,A00021,440 Martin Isle Apt. 178,Powersstad,Maryland,49745,Australia
22,A00022,3706 Frederick Vista,New William,South Carolina,52486,Australia
23,A00023,048 Peterson Ferry Apt. 380,Alexandriaberg,Wyoming,97441,Australia
24,A00024,85048 Jones Greens,Kevinshire,Hawaii,09531,Australia
25,A00025,61271 Wood Station Suite 230,Williamstad,Massachusetts,65014,Australia
26,A00026,6828 Holt Plain,Jenniferfurt,Idaho,38614,Australia
27,A00027,992 Phillips Ports Apt. 816,Port Diane,Iowa,93833,Australia
28,A00028,4811 Desiree Mission Suite 912,New Kimberly,Vermont,04204,Australia
29,A00029,36583 William Rapids Suite 325,Andreville,Wyoming,01498,Australia
30,A00030,85116 Sarah Isle,Henrymouth,Alaska,49344,Australia
31,A00031,1517 Vasquez Drive Suite 286,Jennifermouth,New Mexico,55854,Australia
32,A00032,01478 Lam Trafficway,North Juan,Pennsylvania,45987,Australia
33,A00033,0338 Watson Mountains,Lake Matthew,Virginia,77042,Australia
34,A00034,28186 Walsh Lane,Taylorstad,Mississippi,58355,Australia
35,A00035,38360 Isaiah Prairie,Davidmouth,Iowa,87061,Australia
36,A00036,01864 Sheila Harbor Apt. 617,Georgefort,Alabama,27138,Australia
37,A00037,554 Payne Orchard,Alexanderside,Oregon,90946,Australia
38,A00038,93752 Jonathan Ridges,Maryhaven,Minnesota,83583,Australia
39,A00039,792 Suzanne Lakes Suite 178,New Robinmouth,Oregon,05628,Australia
40,A00040,5125 Wolf Passage Apt. 039,South Derektown,Maryland,37767,Australia
41,A00041,609 Danielle Forges Apt. 928,Butlerstad,Nevada,56017,Australia
42,A00042,39741 Jackson Inlet,Phillipston,Wyoming,80762,Australia
43,A00043,6547 James Divide Suite 926,North Vincent,Alabama,79547,Australia
44,A00044,04475 David Lake,North Joyce,New Hampshire,82605,Australia
45,A00045,472 Caldwell Row Apt. 180,Hernandezchester,Virginia,86450,Australia
46,A00046,8330 Patrick Bridge,Alexside,New Jersey,89305,Australia
47,A00047,019 Downs Prairie,West Michaeltown,Oregon,67930,Australia
48,A00048,4333 Cooper Locks Suite 652,North Elizabethview,Tennessee,75630,Australia
49,A00049,84040 Sara Glens Suite 784,North Matthewtown,South Dakota,17182,Australia
50,A00050,2195 Christopher Rapid,Mercadoview,Connecticut,15733,Australia
51,A00051,42052 Yvonne River,Johnsonview,Missouri,15652,Australia
52,A00052,6590 Pineda Village,Port Michealhaven,Alaska,21359,Australia
53,A00053,305 Danielle Brooks Apt. 456,South Ashley,Oregon,46980,Australia
54,A00054,5436 Kathy Plains Apt. 634,East Alicia,Kansas,22720,Australia
55,A00055,059 Jeffery River Apt. 174,Jenniferside,Louisiana,74315,Australia
56,A00056,9290 Caldwell Squares Suite 165,Josephbury,Delaware,42325,Australia
57,A00057,75848 Moss Square,Jenniferton,Alaska,77775,Australia
58,A00058,7984 Lopez Valley Apt. 495,West Gregoryton,Mississippi,23091,Australia
59,A00059,446 Carter Walk,Lake Ashleemouth,Kentucky,62422,Australia
60,A00060,06408 Phillips Way Suite 980,South Michelleview,South Carolina,92629,Australia
61,A00061,929 Hall Square,Charlesville,New York,52666,Australia
62,A00062,62919 Ryan Well,Gordonshire,Nebraska,41177,Australia
63,A00063,9255 Jessica Burgs Apt. 209,Lake Catherineberg,Alabama,10497,Australia
64,A00064,73451 Ramos Vista,New Amanda,Maine,16091,Australia
65,A00065,1723 Mann Creek Suite 682,North Shawn,Hawaii,32361,Australia
66,A00066,193 Beverly Mountains Suite 913,Taylorport,Michigan,91287,Australia
67,A00067,13199 Hendrix Harbors Apt. 038,North Patriciaton,California,27003,Australia
68,A00068,41123 Bradford Cape,Bethborough,Colorado,79379,Australia
69,A00069,304 Hampton View,East Stephanieland,New Jersey,33206,Australia
70,A00070,7716 Timothy Grove,Juliafort,North Dakota,66247,Australia
71,A00071,3212 Lisa Underpass,West Dawn,Nebraska,02983,Australia
72,A00072,34788 Kathleen Lane Apt. 402,Hernandezfurt,New Hampshire,04214,Australia
73,A00073,12485 Parsons Street Suite 411,South Andrew,Oregon,94731,Australia
74,A00074,549 Donald Causeway Apt. 110,Albertberg,North Carolina,51249,Australia
75,A00075,91390 Tapia Motorway,Woodport,Georgia,66228,Australia
76,A00076,427 Kelly Knolls,Port Brooke,Massachusetts,49960,Australia
77,A00077,094 Rebecca Plain Apt. 182,Port Keith,Maine,40119,Australia
78,A00078,71792 Perez Pass Apt. 703,Kevinton,Louisiana,28621,Australia
79,A00079,289 Schroeder Inlet,New Paulport,Hawaii,26083,Australia
80,A00080,80031 Kristin Orchard,Elizabethstad,Massachusetts,34440,Australia
81,A00081,246 Hall Dale,Floresmouth,Pennsylvania,85250,Australia
82,A00082,1867 Brendan Circle Suite 974,Hayesside,Missouri,46850,Australia
83,A00083,3052 Dean Mountain Suite 430,Kellyborough,Tennessee,05066,Australia
84,A00084,899 Webb Pines,East Soniashire,Colorado,12824,Australia
85,A00085,86183 Raymond Squares Suite 383,Port Anna,Rhode Island,83688,Australia
86,A00086,531 Whitaker Underpass,West Williammouth,Maine,10264,Australia
87,A00087,3957 Meyer Skyway Apt. 452,Steelechester,Maine,87772,Australia
88,A00088,5469 Lynch Falls Suite 282,North Jorge,Illinois,07818,Australia
89,A00089,395 Travis Flat,Jeanettefurt,Nebraska,34502,Australia
90,A00090,321 Ariel Gateway,Martinburgh,Illinois,34590,Australia
91,A00091,44462 Garza Extension Apt. 907,North Adam,North Carolina,16378,Australia
92,A00092,05448 Bender Rest Suite 184,Lamchester,Alabama,29126,Australia
93,A00093,549 Bowen Oval Suite 116,North Kathleenton,Oregon,95757,Australia
94,A00094,6832 Martin Plains,Fischerburgh,Nebraska,75431,Australia
95,A00095,20863 Evan Cove,Joseland,South Carolina,18320,Australia
96,A00096,11337 Stephanie Port,Davidview,Colorado,16505,Australia
97,A00097,71122 Jerry Springs,New Amy,Maryland,52411,Australia
98,A00098,39035 Hudson Road,Nelsontown,Washington,60572,Australia
99,A00099,3801 Morales Crossroad,Newtonland,Kansas,53929,Australia
100,A00100,9032 Brittany Roads,West Kenneth,Nevada,33538,Australia
101,A00101,086 Roach Tunnel,Karenburgh,Rhode Island,42733,Australia
102,A00102,98913 Rosario Stream,Johnberg,Idaho,40948,Australia
103,A00103,730 Catherine Circle Apt. 239,Randolphport,Wisconsin,18121,Australia
104,A00104,730 Linda Haven,Dawnmouth,Oklahoma,43169,Australia
105,A00105,804 Hamilton Hill,Nicolestad,Iowa,73517,Australia
106,A00106,5695 Thompson Streets,New Cynthialand,Florida,46099,Australia
107,A00107,0650 Ronald Crossing Suite 832,Jasonborough,Virginia,65695,Australia
108,A00108,091 Krista Mountains,Bushborough,Hawaii,55478,Australia
109,A00109,9360 Mason Summit Apt. 393,West Samuel,Vermont,73805,Australia
110,A00110,80016 Mark Pines Suite 976,North Kevinbury,Hawaii,61626,Australia
111,A00111,018 Nguyen Stream Suite 181,Russellchester,Alabama,87054,Australia
112,A00112,670 Wood Park,Port Pamela,Florida,60069,Australia
113,A00113,63634 Patrick Extensions Apt. 838,West William,Texas,25264,Australia
114,A00114,4331 Christopher Inlet,Hansonport,Arizona,10373,Australia
115,A00115,75201 Smith Shoals,West Christopher,Ohio,66543,Australia
116,A00116,300 Barnes Canyon Apt. 172,West Dianechester,Wisconsin,46750,Australia
117,A00117,3588 James Plains,New Steventon,Virginia,85809,Australia
118,A00118,6861 Benjamin Greens Suite 127,Cruzview,Oklahoma,22323,Australia
119,A00119,0856 Whitehead Points Suite 087,Edwardside,New Hampshire,93405,Australia
