customer_key,customer_id,first_name,last_name,email,loyalty_status,segment,region
1,CUST00001,Tommy,Luna,brownmelinda@example.org,Bronze,Wholesale,North
2,CUST00002,Joshua,Jones,williamburns@example.org,Platinum,Standard,South
3,CUST00003,Jennifer,Dominguez,ibrown@example.org,Bronze,Wholesale,East
4,CUST00004,Debra,Sloan,ibernard@example.org,Bronze,Wholesale,West
5,CUST00005,Caitlin,Schmidt,christophertorres@example.org,Platinum,Wholesale,West
6,CUST00006,Tanya,Diaz,qcontreras@example.net,Silver,Wholesale,North
7,CUST00007,Chelsea,Lopez,keith44@example.net,Silver,Premium,East
8,CUST00008,David,Howell,simmonsshawn@example.org,Bronze,Standard,East
9,CUST00009,Melissa,Rivera,dustinchapman@example.net,Gold,Wholesale,North
10,CUST00010,Kara,White,johnsonanthony@example.org,Gold,Wholesale,West
11,CUST00011,Austin,Howe,brandonhernandez@example.org,Platinum,Standard,West
12,CUST00012,Lindsey,Scott,nguyenmichael@example.net,Silver,Standard,North
13,CUST00013,Melvin,Sullivan,millerjennifer@example.org,Bronze,Wholesale,North
14,CUST00014,Dennis,Collier,ymartin@example.net,Bronze,Premium,West
15,CUST00015,Danny,Padilla,bhayden@example.com,Bronze,Standard,West
16,CUST00016,Derek,Evans,smithmelinda@example.net,Platinum,Standard,West
17,CUST00017,Mary,Williams,mccluremiguel@example.org,Silver,Wholesale,East
18,CUST00018,Jennifer,Mccarthy,gregoryprice@example.com,Platinum,Standard,North
19,CUST00019,Tammy,Williams,vincentchristopher@example.org,Bronze,Wholesale,South
20,CUST00020,Morgan,Taylor,cday@example.net,Bronze,Wholesale,West
21,CUST00021,John,Morris,reyesjessica@example.com,Bronze,Premium,East
22,CUST00022,Elizabeth,Stafford,kristen93@example.com,Bronze,Wholesale,North
23,CUST00023,Nicole,Evans,lindadougherty@example.org,Platinum,Premium,East
24,CUST00024,Bobby,Johnson,michaelmorris@example.com,Platinum,Standard,South
25,CUST00025,Robert,Rose,hendricksjohn@example.org,Silver,Wholesale,West
26,CUST00026,Katherine,Myers,wdunn@example.com,Bronze,Standard,West
27,CUST00027,John,Santana,fmiller@example.org,Bronze,Standard,West
28,CUST00028,Juan,Gibson,jillsmith@example.com,Platinum,Standard,South
29,CUST00029,Daniel,Dominguez,jhayden@example.com,Platinum,Wholesale,South
30,CUST00030,Lisa,Harrison,xthomas@example.com,Bronze,Standard,West
31,CUST00031,Nancy,Morris,petervillarreal@example.net,Bronze,Standard,West
32,CUST00032,Tamara,Flores,freemankaren@example.com,Gold,Premium,North
33,CUST00033,Andrea,Heath,dawsonedward@example.net,Gold,Standard,South
34,CUST00034,Jessica,Young,kparsons@example.org,Platinum,Standard,West
35,CUST00035,Calvin,Jones,christinamejia@example.com,Gold,Wholesale,West
36,CUST00036,Angela,Yu,loganmurray@example.net,Silver,Standard,North
37,CUST00037,Arthur,Strickland,vrandall@example.org,Bronze,Standard,West
38,CUST00038,Melissa,Rocha,bosborne@example.org,Gold,Wholesale,South
39,CUST00039,George,Foster,gambledorothy@example.org,Bronze,Wholesale,East
40,CUST00040,Victor,Ellis,sarahmartinez@example.com,Platinum,Premium,East
41,CUST00041,Christine,Gregory,rebeccapollard@example.org,Silver,Standard,West
42,CUST00042,Ashley,Lewis,jesusduncan@example.net,Platinum,Standard,East
43,CUST00043,Michael,Aguilar,woodsstephanie@example.org,Silver,Premium,North
44,CUST00044,John,Reynolds,william98@example.org,Platinum,Wholesale,South
45,CUST00045,Amanda,Warren,robertscandice@example.org,Gold,Wholesale,West
46,CUST00046,Jeffrey,Bryan,hduffy@example.net,Platinum,Premium,North
47,CUST00047,James,Gonzalez,angela74@example.net,Bronze,Premium,East
48,CUST00048,Kimberly,Phillips,fitzgeraldgregg@example.net,Platinum,Standard,South
49,CUST00049,Brenda,Watson,lisa57@example.com,Silver,Wholesale,North
50,CUST00050,Christopher,Newton,ischultz@example.com,Silver,Wholesale,East
51,CUST00051,Lori,Becker,isantos@example.com,Bronze,Standard,North
52,CUST00052,Michael,Hester,kevinroberts@example.net,Platinum,Wholesale,South
53,CUST00053,Patricia,Armstrong,isaiah33@example.org,Platinum,Premium,West
54,CUST00054,Paul,Moore,rkelley@example.net,Bronze,Standard,West
55,CUST00055,William,Flores,connie53@example.org,Bronze,Wholesale,South
56,CUST00056,Joy,King,evanssteven@example.org,Platinum,Wholesale,West
57,CUST00057,Kurt,Wilkinson,joshua26@example.com,Bronze,Wholesale,East
58,CUST00058,Lisa,Riley,jpollard@example.org,Silver,Premium,East
59,CUST00059,Kathy,Wright,wesley32@example.com,Silver,Premium,West
60,CUST00060,Sara,Owen,brookethomas@example.org,Gold,Standard,East
61,CUST00061,Tina,Mora,kevinnewton@example.org,Silver,Standard,North
62,CUST00062,Carolyn,Castaneda,joseph04@example.net,Bronze,Premium,South
63,CUST00063,Tracy,Edwards,robertsjames@example.org,Platinum,Standard,South
64,CUST00064,Frank,Randall,aimee29@example.net,Bronze,Premium,East
65,CUST00065,Justin,Duffy,austinwilson@example.net,Platinum,Premium,North
66,CUST00066,Marc,Jackson,josephlee@example.org,Gold,Premium,West
67,CUST00067,Kristen,Watson,uschneider@example.net,Silver,Premium,North
